country,technology,technology_nomenclature,carrier,class,efficiency,efficiency2,efficiency3,efficiency_store,max_hours,cyclic_state_of_charge,state_of_charge_initial,p_max_pu,p_min_pu,ramp_limit_down,ramp_limit_up,standing_loss,r_rating
XY,RTPV,Roof top PV,Solar,Generator,1,,,,,,,,0,1,1,,0.6
XY,SWHT,Solar hot water heater,Solar,Generator,1,,,,,,,,0,1,1,,0
XY,WSTT,Waste turbine,Waste,Link,0.32,0.36,0,,,,,1,0.21,0.69,0.53,,0.9
XY,WTOF,Offshore Wind,Wind,Generator,1,,,,,,,,0,1,1,,0.2
XY,WTON,Onshore Wind,Wind,Generator,1,,,,,,,,0,1,1,,0.2
XY,EDLH,Dielectric heating technology,Electricity,Link,0.55,0,,,,,,1,0,1,1,,0
XY,EHPP,Industry heat pump,Electricity,Link,0.75,0,,,,,,1,0,1,1,,0
XY,EIDT,Induction heat boiler,Electricity,Link,4,0,,,,,,1,0,1,1,,0
XY,EERH,Electric resistance heater,Electricity,Link,1,0,,,,,,1,0,1,1,,0
XY,PEVCH,PEV charger,Electricity,Link,1,0,,,,,,1,0,1,1,,0
XY,ELTZ,Electrolyser for hydrogen production,Hyd,Link,0.8,0,,,,,,1,0,1,1,,0
XY,FITR,Fischer Tropsch,Hyd,Link,0.65,-0.18,,,,,,1,0,1,1,,0
XY,METH,Methanation,Hyd,Link,0.8,-0.16,,,,,,1,0,1,1,,0
YZ,BATS,Utility Battery storage,Electricity,Store,0.97,0,,,,,,1,-1,1,1,,0.9
YZ,BIOT,Biomass power plant ,Bio,Link,0.47,0,0,,,,,1,0,0.71,0.54,,0.9
YZ,CCGT,Combined cycle gas turbine,Gas,Link,0.58,0.2,0,,,,,0.59,0,0.75,0.71,,0.9
YZ,CCGT,Combined cycle gas turbine,Lng,Link,0.58,0.2,0,,,,,0.59,0,0.75,0.71,,0.9
YZ,CHP,Biomass CHP plants,Bio,Link,0.3,0,0.28,,,,,0.26,0,0.71,0.54,,0.9
YZ,CSP,Concentrated solar ,Solar,Generator,1,,,,,,,,0,1,1,,0
YZ,DAC,Direct air capture,CO2,Link,1,-0.5,,,,,,1,0,1,1,,0
YZ,EDLH,Dielectric heating technology,Electricity,Link,0.55,0,,,,,,1,0,1,1,,0
YZ,EERH,Electric resistance heater,Electricity,Link,1,0,,,,,,1,0,1,1,,0
YZ,EHPP,Industry heat pump,Electricity,Link,0.75,0,,,,,,1,0,1,1,,0
YZ,EIDT,Induction heat boiler,Electricity,Link,4,0,,,,,,1,0,1,1,,0
YZ,ELTZ,Electrolyser for hydrogen production,Hyd,Link,0.59,0,,,,,,1,0,1,1,,0
YZ,FITR,Fischer Tropsch,Hyd,Link,0.8,-0.18,,,,,,1,0,1,1,,0
YZ,GEOT,Geothermal power plant,Geothermal,Generator,1,,,,,,,,0.49,0.42,0.42,,0.9
YZ,HDAM,Hydro dam,Water,StorageUnit,0.9,,,0,9,FALSE,3,1,0,1,1,0,0.9
YZ,HHBS,Household Battery storage,Electricity,Store,0.9,0,,,,,,1,-1,1,1,,0
YZ,HPHS,Hydro pumped storage,Electricity,StorageUnit,0.89,0,,,,,,1,-1,1,1,,0.9
YZ,HROR,Hydro run-of-river,Water,Generator,1,,,,,,,,0,1,1,,0.9
YZ,IND_BOILER,Industry heat boiler,Bio,Link,0.9,0,0,,,,,1,0,1,1,,0
YZ,IND_BOILER,Industry heat boiler,Gas,Link,0.9,0.2,0,,,,,1,0,1,1,,0
YZ,IND_BOILER,Industry heat boiler,Hrdc,Link,0.9,0.35,0,,,,,1,0,1,1,,0
YZ,IND_BOILER,Industry heat boiler,Hyd,Link,0.9,0,0,,,,,1,0,1,1,,0
YZ,IND_BOILER,Industry heat boiler,Oil,Link,0.9,0.28,0,,,,,1,0,1,1,,0
YZ,INLHSTOR,Thermal low Heat Storage,Low_Heat,Store,0.75,0,,,,,,1,-1,1,1,,0
YZ,METH,Methanation,Hyd,Link,0.8,-0.16,,,,,,1,0,1,1,,0
YZ,NUCL,Nuclear,Uranium,Link,0.33,0,0,,,,,0.81,0.81,0.72,0.54,,0.9
YZ,OCGT,Open cycle gas turbine,Gas,Link,0.45,0.2,0,,,,,0.59,0,0.68,0.63,,0.9
YZ,OCGT,Open cycle gas turbine,Lng,Link,0.45,0.2,0,,,,,0.59,0,0.68,0.63,,0.9
YZ,OCHT,Open cycle hydrogen turbine,Hyd,Link,0.38,0,0,,,,,1,0,0.68,0.63,,0.9
YZ,OILT,Oil turbine power plant,Oil,Link,0.35,0.28,0,,,,,0.35,0,0.77,0.65,,0.9
YZ,PEVCH,PEV charger,Electricity,Link,1,0,,,,,,1,0,1,1,,0
YZ,PHOT,Solar PV,Solar,Generator,1,,,,,,,,0,1,1,,0.6
YZ,RTPV,Roof top PV,Solar,Generator,1,,,,,,,,0,1,1,,0.6
YZ,SubC,subcritical coal power plant,Bit,Link,0.33,0.34,0,,,,,0.67,0,0.38,0.29,,0.9
YZ,SubC,subcritical coal power plant,Hrdc,Link,0.33,0.36,0,,,,,0.67,0,0.38,0.29,,0.9
YZ,SubC,subcritical coal power plant,Lig,Link,0.33,0.36,0,,,,,0.67,0,0.38,0.29,,0.9
YZ,SupC,Supercritical coal power plant,Bit,Link,0.33,0.34,0,,,,,0.67,0,0.38,0.29,,0.9
YZ,SupC,Supercritical coal power plant,Hrdc,Link,0.33,0.35,0,,,,,0.67,0,0.38,0.29,,0.9
YZ,SupC,Supercritical coal power plant,Lig,Link,0.33,0.36,0,,,,,0.67,0,0.38,0.29,,0.9
YZ,SWHT,Solar hot water heater,Solar,Generator,1,,,,,,,,0,1,1,,0
YZ,WSTT,Waste turbine,Waste,Link,0.32,0.36,0,,,,,1,0.21,0.69,0.53,,0.9
YZ,WTOF,Offshore Wind,Wind,Generator,1,,,,,,,,0,1,1,,0.2
YZ,WTON,Onshore Wind,Wind,Generator,1,,,,,,,,0,1,1,,0.2
